0,keep related supplies in the same area make an effort to clean a dedicated workspace after every session place loose supplies in large clearly visible containers use clotheslines and clips to hang sketches photos and reference material use every inch of the room for storage especially vertical space use chalkboard paint to make space for drafting ideas right on the walls purchase a label maker to make your organization strategy semipermanent make a habit of throwing out old excess or useless stuff each month
1,create a sketch in the neopoprealist manner of the future mural on a small piece of paper 8x10 using the black ink pen prepare to create your neopoprealist mural prepare your paint begin your project with a design produce a scaled down version of your finished mural prepare the wall to be painted after you have primed the surface measure the wall paint in the base coat of the background allow the background and base coats to dry draw the lines then fill the appeared section with different repetitive patterns examine the images above paint patterns with brushes of suitable size for the particular portion of work you are painting clean up the lines and shapes as needed seal the mural if needed be inspired and it will help you succeed
2,get a bachelorâs degree enroll in a studiobased program train on a number of vfx computer programs watch online tutorials nurture your artistic side pay close attention to movies television shows and video games develop a specialization
3,start with some experience or interest in art understand the difference between art collectors art investors and art speculators figure out what you are willing to pay for art before going to an auction house pay attention to what schools of art are selling well and which are down focus art investments on fine art paintings rather than decorative art reach out to trusted auction houses and dealers when you are looking to buy art buy your investment art when you feel confident of its worth its price and its ability to grow in value study how art is properly stored have your art investments appraised occasionally consider renting out your art investments understand that selling an art investment can take time
4,keep your reference materials sketches articles photos etc in one easy to find place make studies or practice sketches to organize effectively for larger projects limit the supplies you leave out to the project at hand keep an updated list of all of the necessary supplies and the quantities of each break down bigger works into more easily completed parts
5,keep all of your past work organized and accessible record all of your artistic contacts and connections in one place log the costs of supplies needed for each project find out how much it costs you to make and sell each piece pay attention to what other similar works of art are selling for consider the cost of your time when pricing work
6,create a compelling reel or portfolio land an internship consider selfemployment sign on with a design company or studio move up to a supervisor position
7,join a professional society enjoy working with a team expect long work hours spend time on a tv or film set
8,make sure you know what is expected of you stick to your topic do nt try to be to be funny unless the scenario calls for it act naturally for the situation talk act and sit as your character would usually do in the circumstances participate do nt react to what others say as yourself stay in character do nt make anything violent or too crazy relax and enjoy yourself be your character play games that allow you to practice improvisation
9,make a list of what your friends watch read and listen to now go online to check celebrity gossip watch popular tv shows to be in the know check top 100 charts to see what music is popular now go to the movies whenever something exciting is released follow your favorite celebrities on twitter and instagram vary your interests to avoid missing references listen to podcasts about pop culture
10,practice your material until you can perform each song perfectly choose whether you re going to record your music in your own home studio or a professional recording studio prove your talent pick your best three to five songs for a demo submission write a brief bio visit httpwwwphantomcitystudiocomdemos for uptodate information on how to properly submit your music demo    complete the demo submission process    wait a for a response
11,listen to radio advertisements determine the distance from your location to each casino choose the casino that is the shortest distance from your location
12,take theatre classes volunteer at a theatre try out every position apply for an internship apply at local theatres see if thereâs an opening at a school near you apply at music venues network wear black and dress conservatively dedicate your time be assertive provide great customer service improve your leadership skills communicate clearly stay organized
13,set up a clear list of traits and characteristics you are looking for as well as the skills the actors need to have remember the budget the deadline and all of the small details that the person you hire will need to know call a talent agent or look through portfolios on their website to see if anyone has the right qualificationsappearance    leave an advertisement in a high circulation newspaper or on an ad site use any connections you may have to track down the perfect man or woman for the job such as an aspiring performer a casting director a drama teacher etc    use social media sites to contact actors or widen your search area    search for actors online and contact them through their website    hold an open call audition attend plays concerts recitals or even a few acting classes to search for the talent
14,determine if your minivan is currently under warranty if so locate a mechanic for warranty work ask your friends colleagues and family members for recommendations for a good mechanic visit or call the recommended mechanic and ask him if he does the kind of repairs or maintenance you need done on your minivan select a specialized mechanic if your van needs brake repairs alignment adjustments exhaust work or radiator replacement request a detailed estimate before you authorize work to be completed ask about the shops business hours inquire about the shops guarantee on completed work get references or read testimonials for a mechanic or auto shop before you make your final decision
